relation_id,source_entity,target_entity,relation_type,confidence,attributes,source_file,content_hash,create_time
R_b7f20f54,Gleeble-3500热模拟试验机,热变形连接,设备-工序执行,1.0,"{""direction"": ""设备-工艺"", ""strength"": ""强"", ""context"": ""Gleeble-3500热模拟试验机用于执行热变形连接试验""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,b7f20f546cdcc4a29066e60800320914,2025-07-26T09:31:14.720232
R_eac8ecaa,光学显微镜(OM),连接界面,检测-缺陷发现,1.0,"{""direction"": ""设备-特征"", ""strength"": ""强"", ""context"": ""光学显微镜用于观察连接界面""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,eac8ecaabf94a3eb9607cf7e637eb439,2025-07-26T09:31:14.720232
R_facb2a69,扫描电子显微镜(SEM),氧化物,检测-缺陷发现,1.0,"{""direction"": ""设备-缺陷"", ""strength"": ""强"", ""context"": ""扫描电子显微镜用于检测界面氧化物""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,facb2a69681c2e12b4de22c53a6d5846,2025-07-26T09:31:14.720232
R_a6900f11,电子背散射衍射(EBSD),晶界迁移,检测-缺陷发现,1.0,"{""direction"": ""设备-缺陷"", ""strength"": ""强"", ""context"": ""电子背散射衍射用于观察晶界迁移""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,a6900f117207a9d8f17c59d812c288bc,2025-07-26T09:31:14.720232
R_f7acb5b6,1200℃/30%+1100℃/4h,热变形连接,工艺-参数控制,1.0,"{""direction"": ""参数-工艺"", ""strength"": ""强"", ""context"": ""1200℃/30%+1100℃/4h是热变形连接的临界工艺参数""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,f7acb5b64049090e244f3af3ef628f72,2025-07-26T09:31:14.720232
R_f4518d94,1200℃/50%+1200℃/16h,热变形连接,工艺-参数控制,1.0,"{""direction"": ""参数-工艺"", ""strength"": ""强"", ""context"": ""1200℃/50%+1200℃/16h是热变形连接的中试工艺参数""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,f4518d94011c07d7ff965ef385a2f55d,2025-07-26T09:31:14.720232
R_50d79caa,抗拉强度,连接界面,质量控制关系,1.0,"{""direction"": ""指标-特征"", ""strength"": ""强"", ""context"": ""抗拉强度是连接界面的力学性能指标""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,50d79caaa4e42f41e5392c6c72b14d8a,2025-07-26T09:31:14.720232
R_f1524ea9,屈服强度,连接界面,质量控制关系,1.0,"{""direction"": ""指标-特征"", ""strength"": ""强"", ""context"": ""屈服强度是连接界面的力学性能指标""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,f1524ea99ff20c58c1e1d06ebb51df4e,2025-07-26T09:31:14.720232
R_3b7898b5,异形兜孔双爪保持架,双列调心凹面滚子轴承,产品-零件包含,0.98,"{""direction"": ""包含"", ""strength"": ""强"", ""context"": ""保持架为轴承核心组件""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,3b7898b508f97bb2ae4e85e3b08eb5e9,2025-07-26T09:32:11.331553
R_4d8cfe97,铣削加工,异形兜孔双爪保持架,工步-特征加工,0.97,"{""direction"": ""加工"", ""strength"": ""直接"", ""context"": ""用于加工保持架兜孔""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,4d8cfe97d0ad6150a43f34452808204f,2025-07-26T09:32:11.331553
R_f9eb709a,普通立式加工中心,铣削加工,设备-工序执行,0.96,"{""direction"": ""执行"", ""strength"": ""直接"", ""context"": ""机床执行铣削工序""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,f9eb709a29b810765bdbb8748162d5c7,2025-07-26T09:32:11.331553
R_91f4a4ec,双层三柱弧面夹爪,普通立式加工中心,设备-装备使用,0.95,"{""direction"": ""使用"", ""strength"": ""专用"", ""context"": ""夹具安装在机床上""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,91f4a4ec7313c3d1e54464b092df216c,2025-07-26T09:32:11.331553
R_a75b9d24,QAL10-5-5 铝青铜,异形兜孔双爪保持架,材料-零件构成,0.99,"{""direction"": ""构成"", ""strength"": ""直接"", ""context"": ""保持架原材料""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,a75b9d24720163757492244e3d9d5dc2,2025-07-26T09:32:11.331553
R_dfa8af6f,双层三柱弧面夹爪,0.02～0.03 μm,装备-精度影响,0.94,"{""direction"": ""提升"", ""strength"": ""显著"", ""context"": ""减少保持架变形75%""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,dfa8af6fb9c3be3ccdeb38ede3028898,2025-07-26T09:32:11.331553
R_1f2190c3,17°,异形兜孔双爪保持架,参数-特征关联,0.96,"{""direction"": ""定义"", ""strength"": ""关键"", ""context"": ""兜孔水平倾斜角""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,1f2190c3ad9fb7409c527139539e9a6a,2025-07-26T09:32:11.331553
R_66cb32b7,车加工,铣削加工,工序-前后顺序,0.93,"{""direction"": ""先于"", ""strength"": ""工艺顺序"", ""context"": ""车加工为前道工序""}",双列调心凹面滚子轴承保持架兜孔加工工艺改进_师歌.pdf,66cb32b795bfe571bc358bbfc1e0f483,2025-07-26T09:32:11.331553
R_e3a67e4d,数控加工,6206深沟球轴承套圈,工序-零件加工,0.98,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""主加工工序""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,e3a67e4dc074398353beafe30dae927e,2025-07-26T09:33:21.993201
R_84552ab0,五轴数控机床,数控加工,设备-工序执行,0.99,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""主要加工设备""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,84552ab08b2dd96293a5b49f22ac8723,2025-07-26T09:33:21.993201
R_a50072f0,数控加工,CBN刀具,工序-装备使用,0.97,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""切削工具""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,a50072f02f17d6b64cc74fff4df6000d,2025-07-26T09:33:21.993201
R_4ce16077,数控加工,GCr15轴承钢,工序-材料使用,0.96,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""加工材料""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,4ce16077dff1ebeed221e6247e55a10b,2025-07-26T09:33:21.993201
R_3c8aaf9e,滚动轴承,6206深沟球轴承套圈,产品-零件包含,0.98,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""核心组件""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,3c8aaf9eca2a2b39bf2f055a1ee28f79,2025-07-26T09:33:21.993201
R_a6766fce,数控加工,切削速度135 m/min,工序-参数控制,0.99,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""关键工艺参数""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,a6766fcef9d8ce32249245866190bc34,2025-07-26T09:33:21.993201
R_395e095a,五轴数控机床,主轴转速1 350 r/min,设备-参数设定,0.99,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""设备运行参数""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,395e095a9298b11f59e508bf8018d9cb,2025-07-26T09:33:21.993201
R_430e32b9,白光干涉仪,表面粗糙度Ra≤0.4 µm,检测-缺陷发现,0.97,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""质量检测""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,430e32b942eff7064c064f20f7de322f,2025-07-26T09:33:21.993201
R_06a6d9de,CBN刀具,刀具后刀面磨损宽度B,装备-缺陷关联,0.95,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""刀具状态监测""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,06a6d9de4e97dc463777b0dfd1b736ab,2025-07-26T09:33:21.993201
R_b910597a,GCr15轴承钢,硬度HRC60±2,材料-性能参数,0.98,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""材料特性""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,b910597abe16e9c428ac40c26f50e0d3,2025-07-26T09:33:21.993201
R_3dd8d624,仿真,执行,工序-前后顺序,0.9,"{""direction"": ""前后"", ""strength"": ""强"", ""context"": ""工艺流程""}",基于智能制造的滚动轴承数控加工工艺优化方法_施宇.pdf,3dd8d62456e5ef5b47bdee1fe7232e14,2025-07-26T09:33:21.993201
R_03b93119,盾构主轴承,滚道,产品-零件包含,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""盾构主轴承包含滚道零件""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,03b93119db4d8e6cfe845b71269061c6,2025-07-26T09:35:23.956239
R_cf7eab8a,滚道,42CrMo钢,零件-材料使用,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""滚道使用42CrMo钢材料""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,cf7eab8a557aad62623f9694ce03a3e0,2025-07-26T09:35:23.956239
R_2016b87e,激光相变硬化,滚道,工序-零件加工,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""激光相变硬化工艺加工滚道""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,2016b87e1c1363e3bf23be4609d3bcaa,2025-07-26T09:35:23.956239
R_abaa7a45,激光相变硬化,SYSWELD软件,工序-设备使用,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""激光相变硬化使用SYSWELD软件进行仿真""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,abaa7a45ca613f5379dff37482185ddd,2025-07-26T09:35:23.956239
R_3784f697,激光相变硬化,激光功率,工序-参数控制,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""激光相变硬化控制激光功率参数""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,3784f697ff727213f833633410709b07,2025-07-26T09:35:23.956239
R_36ace0e5,激光相变硬化,扫描速度,工序-参数控制,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""激光相变硬化控制扫描速度参数""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,36ace0e51f9a8a61429bed9b7380e98c,2025-07-26T09:35:23.956239
R_08ec4b63,激光相变硬化,光斑直径,工序-参数控制,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""激光相变硬化控制光斑直径参数""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,08ec4b6382539841f21480c905298932,2025-07-26T09:35:23.956239
R_e0fce5f8,激光功率,硬化层深度,参数-性能影响,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""激光功率影响硬化层深度""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,e0fce5f8b9f2231589a5df9a2b5cdf63,2025-07-26T09:35:23.956239
R_d82ba90f,扫描速度,硬化层深度,参数-性能影响,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""扫描速度影响硬化层深度""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,d82ba90fcb0024fe6cf026476f7375fd,2025-07-26T09:35:23.956239
R_3a07d9fa,光斑直径,硬化层深度,参数-性能影响,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""光斑直径影响硬化层深度""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,3a07d9fa8409a54edf1ed8d9517c22d8,2025-07-26T09:35:23.956239
R_eb175f27,马氏体,硬度,组织-性能影响,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""马氏体含量影响硬度""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,eb175f270f0a60dee5ce1e899c20d9fa,2025-07-26T09:35:23.956239
R_a0f1591e,马氏体,耐磨性,组织-性能影响,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""马氏体含量影响耐磨性""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,a0f1591e3812085f815f42dc55613d32,2025-07-26T09:35:23.956239
R_2e6e53e7,马氏体,抗疲劳性,组织-性能影响,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""马氏体含量影响抗疲劳性""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,2e6e53e769e59f34d5860532ff4bbbc3,2025-07-26T09:35:23.956239
R_52d8c66a,奥氏体,马氏体,组织-组织转变,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""奥氏体冷却后转变为马氏体""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,52d8c66a3c76d7df4ae53e2f60105abe,2025-07-26T09:35:23.956239
R_99000ad7,铁素体,奥氏体,组织-组织转变,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""铁素体加热后转变为奥氏体""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,99000ad7dc99d16b1b021efe21ea75e3,2025-07-26T09:35:23.956239
R_121a84e6,激光相变硬化,温度场,工序-参数控制,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""激光相变硬化控制温度场分布""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,121a84e6d001c3b129bc181a7c2c413f,2025-07-26T09:35:23.956239
R_99267a89,激光相变硬化,高斯热源,工序-装备使用,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""激光相变硬化使用高斯热源模型""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,99267a8931be8c155d0fa300b4fba563,2025-07-26T09:35:23.956239
R_1d1f9281,激光相变硬化,VisualMesh,工序-设备使用,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""激光相变硬化使用VisualMesh建立模型""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,1d1f9281c1145a1b660c079eb61f2b82,2025-07-26T09:35:23.956239
R_b0b81c6f,42CrMo钢,熔点温度,材料-性能参数,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""42CrMo钢的熔点温度为1400℃""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,b0b81c6f46639344e1abd1089cdf5126,2025-07-26T09:35:23.956239
R_ae7bf777,42CrMo钢,奥氏体化温度,材料-性能参数,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""42CrMo钢的奥氏体化温度为800℃""}",盾构主轴承滚道表面激光相变硬化工艺参数研究_王匀.pdf,ae7bf7777179167c93735a6d8641ba7f,2025-07-26T09:35:23.956239
R_9fee9c44,GCr15轴承钢,CaO-Al₂O₃-SiO₂-MgO四元渣系,工艺使用关系,0.9,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""用于GCr15轴承钢的精炼""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,9fee9c443e3359f14d96c1fda8417a4b,2025-07-26T09:36:17.831596
R_d39ae1f2,LF精炼,w[O],参数控制关系,0.85,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""LF阶段控制氧含量""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,d39ae1f28552e7087b2097fcbfce5f06,2025-07-26T09:36:17.831596
R_14e7fae0,RH精炼,w[Ti],参数控制关系,0.85,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""RH阶段控制钛含量""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,14e7fae0ce8bf292157fb637d543b162,2025-07-26T09:36:17.831596
R_0f0db797,FactSage,CaO-Al₂O₃-SiO₂-MgO四元渣系,工艺使用关系,0.8,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""用于渣系优化设计""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,0f0db79731085a8cfab48b5e8c3e1c2b,2025-07-26T09:36:17.831596
R_3a8960f0,阶梯式控氧策略,TiN夹杂物,质量控制关系,0.85,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""减少TiN夹杂物形成""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,3a8960f033e4f9f394c1f548cb06b03e,2025-07-26T09:36:17.831596
R_819b0653,LF精炼,RH精炼,工艺顺序关系,0.9,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""LF精炼后接RH精炼""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,819b0653912175dfc6d404b11134867c,2025-07-26T09:36:17.831596
R_e3a907cc,真空感应炉,RH精炼,设备-工序执行,0.85,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""模拟RH精炼条件""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,e3a907cc8d71fcf5cf84aa9863894596,2025-07-26T09:36:17.831596
R_8ee3a9fb,GCr15轴承钢,TiN夹杂物,质量控制关系,0.9,"{""direction"": ""反向"", ""strength"": ""强"", ""context"": ""TiN夹杂物影响轴承钢性能""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,8ee3a9fba6a6b6970cb4dfe4d79b83bc,2025-07-26T09:36:17.831596
R_a3bcc415,通过对国内某特钢企业BOF,LF,工序-前后顺序,0.9,"{""direction"": ""前后"", ""strength"": ""强"", ""context"": ""工艺流程""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,a3bcc415ab751882cb0332d21dc6cd1c,2025-07-26T09:36:17.831596
R_395c20c5,RH,CC 流,工序-前后顺序,0.9,"{""direction"": ""前后"", ""strength"": ""强"", ""context"": ""工艺流程""}",高碳铬轴承钢氧钛协同精炼工艺理论与实验_张飞龙.pdf,395c20c54e8732982d18c8d410ec17be,2025-07-26T09:36:17.831596
R_54364a0f,轴瓦,SX13 径锻机,产品-零件包含,1.0,"{""direction"": ""双向"", ""strength"": ""强"", ""context"": ""轴瓦是SX13径锻机的关键零件""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,54364a0fd04deeb3b4ca3dde4be09562,2025-07-26T10:13:36.226679
R_295b0d1b,熔铸技术,双金属材料,工艺-材料使用,1.0,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""熔铸技术用于制造双金属材料轴瓦""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,295b0d1b3fff7e55e943f9917d6d94b3,2025-07-26T10:13:36.226679
R_d1905948,X 射线衍射仪,轴瓦,检测-缺陷发现,1.0,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""用于测试轴瓦结构""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,d1905948ec1d13e3f09cd126fd31f6c0,2025-07-26T10:13:36.226679
R_efbc4bc7,CETR UMT-3 型摩擦试验机,轴瓦,检测-缺陷发现,1.0,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""用于测试轴瓦摩擦磨损性能""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,efbc4bc7b327c89d38d2f346d1149654,2025-07-26T10:13:36.226679
R_02a41c39,巴氏合金,轴瓦,材料-产品应用,1.0,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""巴氏合金用于轴瓦减摩层""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,02a41c397b9e9904c57c272103f09c03,2025-07-26T10:13:36.226679
R_fd8dbf3a,铜合金,轴瓦,材料-产品应用,1.0,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""铜合金用于轴瓦结构""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,fd8dbf3ae4b1a67774ea71950cd4477b,2025-07-26T10:13:36.226679
R_46167ab9,钢背,轴瓦,材料-产品应用,1.0,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""钢背用于轴瓦基体""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,46167ab90757eb9aefb77a77250e0aa6,2025-07-26T10:13:36.226679
R_29de3842,锻造力,轴瓦,参数控制,1.0,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""轴瓦承受的锻造力参数""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,29de3842f271827c5a0181e56b5de438,2025-07-26T10:13:36.226679
R_061cf6d1,转速,轴瓦,参数控制,1.0,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""轴瓦工作时的转速参数""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,061cf6d10275f20e59dd7239fbdfbca8,2025-07-26T10:13:36.227699
R_f67baa64,润滑,轴瓦,工艺-产品应用,1.0,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""润滑工艺用于轴瓦工作""}",径锻机轴瓦性能分析及工艺研究_何雪龙.pdf,f67baa643e3dac87e015463f4a66bf8e,2025-07-26T10:13:36.227699
R_68903ab4,石墨滑动轴承,蜗壳,产品-零件包含,0.9,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""石墨轴承与蜗壳的装配关系""}",某型航空燃油泵石墨滑动轴承拆卸及安装工艺研究_张峰.pdf,68903ab4e88279d8ef3401603329e5f5,2025-07-26T10:15:05.814531
R_427242aa,车削,石墨滑动轴承,工步-特征加工,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""车削去除损坏的石墨轴承""}",某型航空燃油泵石墨滑动轴承拆卸及安装工艺研究_张峰.pdf,427242aa9f12375c8e6655ae16009d91,2025-07-26T10:15:05.814531
R_3cda4190,温差装配法,石墨滑动轴承,工艺方法-产品应用,0.9,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""采用温差法装配石墨轴承""}",某型航空燃油泵石墨滑动轴承拆卸及安装工艺研究_张峰.pdf,3cda419007beb1504a665ee669a69538,2025-07-26T10:15:05.814531
R_ff01fe8a,数控加工中心,车削,设备-工序执行,0.95,"{""direction"": ""单向"", ""strength"": ""强"", ""context"": ""在数控加工中心上进行车削加工""}",某型航空燃油泵石墨滑动轴承拆卸及安装工艺研究_张峰.pdf,ff01fe8a607d97e11716816217ab3d6f,2025-07-26T10:15:05.814531
R_aaf14e92,专用夹具,数控加工中心,设备-装备使用,0.9,"{""direction"": ""单向"", ""strength"": ""中"", ""context"": ""使用专用夹具在机床上进行加工""}",某型航空燃油泵石墨滑动轴承拆卸及安装工艺研究_张峰.pdf,aaf14e921baed6822023dad64c01bde6,2025-07-26T10:15:05.814531
